user_id,song_id,listen_count
335c6f7e4b0cf92e30ae15c5a773dcd5e7a6c385,SOLLMBX12A8C13DC2D,1
d35ca782315a69bd2192337eea840d8ab252ffbb,SONJILQ12A67020456,1
68096cf35ee7aaaf199120938657265d8686d123,SOWDCXZ12AB017CDC8,1
99fbec38b5d8dd7f3aac6606633347c782e5acfe,SODBQPZ12A8C144B58,3
c9a4c0c1d89ab3d961917956f6d8fb841b9fc51f,SOJBZVF12AC3DF5728,1
457570cf93783a7fe6ceda9138dd9c904fafc4ec,SOZXVUF12AC909762A,1
ee6936a4d513142bd00d475dd3d3e6b08b88652f,SOMVIOV12A6D4F719A,7
0fcefeae37f33dfa2e013fc09a5550b9475f0089,SOSJZID12A8C13E802,2
527285acc6d1fbb0a46ddf08bba83c0d9e8b7437,SOJEYPO12AAA8C6B0E,1
5f9d756916711716387f45b00fb71076a2ae86ba,SOFINSL12AF729F063,5
fd4acfa1b7d6a050e9526a59e913f6879a68f481,SOMMONH12A6D4F41CD,1
de595b4e3d5e048a46bfa6ecf7ff63850774b71e,SOISUWI12A6D4F5708,5
3cb4306443147b74be1077bb91a0a11900384080,SOPQJKW12A58A7AB38,12
0eabf7bf8669b2f79ba7eb6abbb2059d622575f3,SOWSSRH12A58A7CE5D,1
e944a99126538aaa4a80f6320e59ca282b496d8c,SOJSZKL12A8C13A691,1
200a6b5e3cdf219c622a19c18b10b56ee57b540e,SOBVYNO12A8C140601,24
c23bc330c9b41266ac15a5dba7b64ff5b317ef29,SODFUZR12AB017F927,1
a24575969ec89efb04d0b6aad5cbe61a651367bb,SONYKOW12AB01849C9,11
4f975e87ff20bc1c01541890e76e7759d66c7595,SOFRCGW12A81C21EA6,1
fc1b68dc9b3f0dd8752dd27cf5abc72993d6f81b,SOGCGBA12AC3923C4F,1
ab794f19a896ce1ad46f1b8fe963f5dc7d4a36d4,SOXEHUH12AB018D1E0,2
77ab9e7d938feabe6cc91ebddc7ad9652069f5f4,SOFPDCU12A6D4FD0DC,4
cb6eb9c93d8c6c6dd8e7dfbd5e3454c41b82e157,SOCKHZK12AB018894F,2
10b26c098592b2a4f75f1d16c00966b9c87ed54a,SOPIBAT12A6D4F5E0C,6
cbfd8acd8e4fe805801747337e36a0c12a55ce55,SOHTQAS12A6701C7BA,1
e11c53ee8610bcd2ccf5f4bb402afe883f9a643a,SORPVUD12A67020454,2
dbcd751c4295792ab5108470ad1ddbb32f594a88,SOSGBJB12A6D4FCDEC,2
d087c6e1a8289bd13c8d60ec9cf307c1645e00a9,SODLLYS12A8C13A96B,1
04043d5716a2359f49f62d13c7c3d3e72b28f520,SOMFUWK12A6D4F8AFA,3
